"","age","sex","pclass","embarked","survived","predictedGLM"
"4",30,"male","first","S",0,0
"5",25,"female","first","S",0,1
"8",39,"male","first","S",0,0
"11",47,"male","first","C",0,0
"16",29.881,"male","first","S",0,0
"17",24,"male","first","C",0,1
"20",36,"male","first","C",0,0
"23",26,"male","first","C",1,1
"28",19,"female","first","C",1,1
"29",35,"female","first","S",1,1
"32",40,"male","first","C",1,0
"35",42,"male","first","S",0,0
"40",48,"male","first","C",0,0
"41",29.881,"male","first","C",0,1
"44",60,"female","first","C",1,1
"47",29.881,"male","first","S",0,0
"52",33,"male","first","S",0,0
"53",28,"male","first","S",0,0
"56",14,"female","first","S",1,1
"59",49,"male","first","S",0,0
"64",47,"female","first","S",1,1
"65",27,"male","first","S",1,0
"68",30,"female","first","S",1,1
"71",29.881,"male","first","S",0,0
"76",47,"male","first","S",0,0
"77",39,"female","first","C",1,1
"80",55,"female","first","S",1,1
"83",36,"female","first","S",1,1
"88",27,"male","first","S",1,0
"89",33,"female","first","S",1,1
"92",31,"male","first","S",1,0
"95",4,"male","first","S",1,1
"100",48,"female","first","C",1,1
"101",49,"male","first","C",1,0
"104",38,"female","first","C",1,1
"107",29.881,"male","first","S",0,0
"112",24,"female","first","S",1,1
"113",28,"female","first","S",1,1
"116",64,"male","first","S",0,0
"119",29.881,"male","first","S",0,0
"124",60,"male","first","C",1,0
"125",48,"female","first","C",1,1
"128",35,"female","first","S",1,1
"131",22,"female","first","C",1,1
"136",71,"male","first","C",0,0
"137",53,"male","first","C",1,0
"140",58,"female","first","S",1,1
"143",46,"male","first","C",0,0
"148",29.881,"male","first","S",0,0
"149",45,"male","first","S",0,0
"152",27,"male","first","C",1,1
"155",55,"male","first","S",0,0
"160",16,"female","first","C",1,1
"161",44,"female","first","C",1,1
"164",35,"female","first","S",1,1
"167",29.881,"male","first","C",0,1
"172",46,"male","first","S",0,0
"173",50,"male","first","S",0,0
"176",41,"male","first","S",0,0
"179",45,"female","first","S",1,1
"184",35,"male","first","C",1,0
"185",29.881,"male","first","C",0,1
"188",16,"female","first","S",1,1
"191",21,"female","first","S",1,1
"196",16,"female","first","S",1,1
"197",29.881,"male","first","C",1,1
"200",24,"female","first","C",1,1
"203",36,"male","first","S",1,0
"208",33,"female","first","Q",1,1
"209",37,"female","first","Q",1,1
"212",47,"male","first","S",0,0
"215",23,"female","first","C",1,1
"220",29.881,"male","first","C",1,1
"221",22,"female","first","C",1,1
"224",29.881,"male","first","S",0,0
"227",29,"male","first","S",0,0
"232",52,"male","first","S",1,0
"233",47,"male","first","S",0,0
"236",29.881,"male","first","S",1,0
"239",43,"female","first","S",1,1
"244",46,"male","first","C",0,0
"245",36,"male","first","C",0,0
"248",54,"female","first","C",1,1
"251",18,"female","first","C",1,1
"256",24,"female","first","C",1,1
"257",29.881,"male","first","S",1,0
"260",34,"male","first","S",1,0
"263",50,"male","first","S",0,0
"268",56,"male","first","C",0,0
"269",24,"male","first","S",0,0
"272",24,"male","first","S",1,0
"275",45,"male","first","C",1,0
"280",62,"male","first","S",0,0
"281",54,"male","first","C",1,0
"284",29.881,"male","first","C",0,1
"287",63,"female","first","S",0,1
"292",39,"female","first","S",1,1
"293",48,"male","first","S",1,0
"296",17,"male","first","C",1,1
"299",31,"male","first","C",1,1
"304",64,"male","first","C",0,0
"305",60,"female","first","C",1,1
"308",21,"male","first","S",0,1
"311",57,"male","first","S",0,0
"316",21,"female","first","S",1,1
"317",51,"male","first","C",0,0
"320",31,"female","first","C",1,1
"323",36,"female","first","C",1,1
"328",25,"male","second","S",0,0
"329",34,"male","second","S",0,0
"332",18,"male","second","S",0,0
"335",28,"male","second","S",0,0
"340",1,"male","second","S",1,0
"341",4,"female","second","S",1,1
"344",34,"male","second","S",1,0
"347",26,"male","second","S",0,0
"352",60,"male","second","S",0,0
"353",40,"female","second","S",1,1
"356",36,"female","second","S",1,1
"359",42,"female","second","S",1,1
"364",29.881,"male","second","S",0,0
"365",19,"male","second","S",0,0
"368",52,"male","second","S",0,0
"371",25,"female","second","S",1,1
"376",28,"male","second","S",0,0
"377",24,"male","second","S",1,0
"380",31,"female","second","S",1,1
"383",29.881,"female","second","S",0,1
"388",48,"female","second","S",1,1
"389",28,"female","second","S",1,1
"392",29,"male","second","C",0,0
"395",18,"male","second","S",0,0
"400",42,"male","second","S",0,0
"401",34,"female","second","S",1,1
"404",23,"male","second","S",0,0
"407",40,"male","second","S",0,0
"412",38,"female","second","S",0,1
"413",35,"male","second","S",0,0
"416",34,"female","second","S",1,1
"419",47,"male","second","S",0,0
"424",34,"male","second","S",0,0
"425",30,"male","second","S",0,0
"428",0.6667,"male","second","S",1,0
"431",6,"female","second","S",1,1
"436",43,"male","second","S",0,0
"437",45,"female","second","S",1,1
"440",49,"male","second","S",0,0
"443",24,"male","second","S",0,0
"448",23,"male","second","S",0,0
"449",36,"male","second","S",0,0
"452",44,"male","second","S",0,0
"455",42,"male","second","S",1,0
"460",42,"male","second","S",0,0
"461",24,"female","second","S",1,1
"464",22,"male","second","S",0,0
"467",34,"male","second","S",0,0
"472",45,"female","second","S",1,1
"473",57,"male","second","Q",0,0
"476",26,"female","second","S",0,1
"479",1,"female","second","C",1,1
"484",29.881,"female","second","S",1,1
"485",34,"female","second","S",1,1
"488",61,"male","second","Q",0,0
"491",57,"female","second","S",0,1
"496",29.881,"male","second","C",0,0
"497",30,"male","second","S",0,0
"500",30,"male","second","S",0,0
"503",41,"female","second","S",1,1
"508",27,"male","second","S",0,0
"509",54,"male","second","S",0,0
"512",62,"male","second","Q",0,0
"515",2,"male","second","S",1,0
"520",28,"male","second","S",0,0
"521",20,"male","second","C",1,0
"524",22,"male","second","S",1,0
"527",29,"male","second","C",1,0
"532",29.881,"male","second","C",0,0
"533",41,"male","second","S",0,0
"536",43,"male","second","S",0,0
"539",30,"male","second","C",1,0
"544",36,"male","second","S",0,0
"545",34,"male","second","S",0,0
"548",23,"male","second","C",0,0
"551",24,"female","second","S",1,1
"556",25,"male","second","S",0,0
"557",27,"male","second","S",0,0
"560",20,"female","second","S",1,1
"563",30,"female","second","Q",1,1
"568",25,"male","second","S",0,0
"569",18.5,"male","second","S",0,0
"572",23,"male","second","S",0,0
"575",29,"male","second","S",0,0
"580",23,"male","second","S",0,0
"581",31,"female","second","S",1,1
"584",40,"female","second","S",1,1
"587",29,"female","second","S",1,1
"592",5,"female","second","S",1,1
"593",36,"male","second","S",0,0
"596",29.881,"male","second","S",0,0
"599",26,"female","second","S",1,1
"604",35,"female","third","S",1,1
"605",16,"female","third","S",1,1
"608",18,"female","third","C",1,1
"611",40,"female","third","S",0,0
"616",20,"male","third","S",0,0
"617",24,"male","third","S",0,0
"620",18,"male","third","S",0,0
"623",4,"male","third","S",0,0
"628",9,"female","third","S",0,1
"629",11,"female","third","S",0,1
"632",26,"male","third","S",0,0
"635",26,"male","third","S",0,0
"640",5,"male","third","S",0,0
"641",9,"male","third","S",0,0
"644",5,"female","third","S",1,1
"647",38,"female","third","S",1,1
"652",30,"male","third","C",0,0
"653",23,"male","third","S",0,0
"656",32,"male","third","S",0,0
"659",0.75,"female","third","C",1,1
"664",26,"male","third","S",0,0
"665",20,"male","third","C",1,0
"668",27,"female","third","Q",0,1
"671",26,"male","third","S",0,0
"676",21,"male","third","S",0,0
"677",18,"male","third","S",0,0
"680",9,"female","third","C",0,1
"683",29.881,"female","third","Q",0,1
"688",20,"female","third","S",0,1
"689",29,"male","third","S",0,0
"692",35,"male","third","S",0,0
"695",19,"male","third","Q",0,0
"700",38,"male","third","S",0,0
"701",17,"male","third","S",0,0
"704",21,"male","third","Q",0,0
"707",29.881,"female","third","C",0,1
"712",28,"male","third","S",0,0
"713",24,"male","third","S",0,0
"716",29,"male","third","S",0,0
"719",20,"male","third","S",0,0
"724",31,"male","third","Q",0,0
"725",31,"male","third","Q",0,0
"728",70.5,"male","third","Q",0,0
"731",27,"male","third","S",0,0
"736",36,"female","third","S",1,1
"737",59,"male","third","S",0,0
"740",44,"male","third","S",0,0
"743",45,"male","third","S",1,0
"748",0.3333,"male","third","S",0,0
"749",34,"male","third","S",0,0
"752",25,"male","third","S",0,0
"755",21,"male","third","S",0,0
"760",36,"female","third","S",1,1
"761",30,"male","third","S",1,0
"764",0.1667,"female","third","S",1,1
"767",25,"male","third","S",0,0
"772",19,"female","third","Q",1,1
"773",17,"male","third","S",0,0
"776",29.881,"male","third","C",0,0
"779",30,"female","third","S",1,1
"784",24,"male","third","S",1,0
"785",23,"male","third","S",0,0
"788",16,"male","third","S",0,0
"791",39,"male","third","C",0,0
"796",29.881,"male","third","C",0,0
"797",40.5,"male","third","S",0,0
"800",18,"male","third","S",0,0
"803",29.881,"male","third","Q",0,0
"808",9,"female","third","S",0,1
"809",29.881,"male","third","S",0,0
"812",48,"female","third","S",0,0
"815",25,"male","third","Q",0,0
"820",29.881,"female","third","Q",1,1
"821",9,"male","third","S",1,0
"824",31,"female","third","S",1,1
"827",1,"male","third","S",0,0
"832",40,"male","third","S",0,0
"833",43,"female","third","S",0,0
"836",29.881,"male","third","S",0,0
"839",28,"male","third","S",0,0
"844",29.881,"male","third","S",0,0
"845",28,"male","third","S",0,0
"848",23.5,"male","third","C",0,0
"851",21,"male","third","S",0,0
"856",11,"male","third","C",0,0
"857",29.881,"female","third","Q",1,1
"860",18,"female","third","Q",0,1
"863",22,"female","third","S",1,1
"868",22,"female","third","S",1,1
"869",43,"male","third","S",0,0
"872",29.881,"male","third","Q",0,0
"875",29.881,"male","third","S",1,0
"880",29.881,"male","third","S",0,0
"881",29,"male","third","C",1,0
"884",20,"male","third","S",0,0
"887",29.881,"female","third","Q",1,1
"892",33,"male","third","S",0,0
"893",31,"male","third","S",0,0
"896",1,"female","third","S",1,1
"899",19,"male","third","S",0,0
"904",29.881,"female","third","S",0,1
"905",23,"male","third","S",0,0
"908",20,"female","third","S",0,1
"911",17,"male","third","S",0,0
"916",22,"male","third","S",0,0
"917",4,"female","third","C",1,1
"920",18.5,"male","third","C",0,0
"923",29.881,"female","third","Q",1,1
"928",29.881,"male","third","C",0,0
"929",29.881,"female","third","C",0,1
"932",29.881,"male","third","Q",0,0
"935",4,"female","third","S",1,1
"940",36,"female","third","S",0,1
"941",29.881,"male","third","C",0,0
"944",37,"female","third","S",0,1
"947",29.881,"male","third","S",0,0
"952",29,"male","third","S",0,0
"953",22,"male","third","S",0,0
"956",29.881,"female","third","S",0,1
"959",29.881,"female","third","S",0,1
"964",36,"male","third","S",0,0
"965",39,"male","third","S",0,0
"968",45,"female","third","S",0,0
"971",20,"male","third","S",1,0
"976",26,"female","third","S",0,1
"977",29.881,"male","third","S",0,0
"980",51,"male","third","S",0,0
"983",29.881,"male","third","S",0,0
"988",29.881,"female","third","Q",0,1
"989",29.881,"male","third","Q",0,0
"992",29.881,"male","third","C",1,0
"995",29.881,"male","third","C",0,0
"1000",29.881,"female","third","Q",1,1
"1001",29.881,"male","third","Q",1,0
"1004",29.881,"male","third","Q",1,0
"1007",29.881,"female","third","Q",1,1
"1012",19,"female","third","S",0,1
"1013",29.881,"female","third","Q",0,1
"1016",55.5,"male","third","S",0,0
"1019",29.881,"male","third","S",0,0
"1024",29.881,"female","third","Q",1,1
"1025",25,"male","third","S",0,0
"1028",29.881,"male","third","S",0,0
"1031",29.881,"male","third","Q",0,0
"1036",29.881,"male","third","C",1,0
"1037",29.881,"female","third","C",1,1
"1040",29.881,"female","third","Q",1,1
"1043",29.881,"female","third","Q",1,1
"1048",15,"female","third","C",1,1
"1049",1,"female","third","C",1,1
"1052",33,"male","third","S",0,0
"1055",29.881,"female","third","Q",0,1
"1060",28,"male","third","S",0,0
"1061",18,"female","third","S",1,1
"1064",41,"male","third","S",0,0
"1067",28.5,"male","third","C",0,0
"1072",29.881,"female","third","Q",1,1
"1073",29.881,"male","third","Q",0,0
"1076",23,"male","third","S",0,0
"1079",29.881,"female","third","Q",1,1
"1084",28,"male","third","S",0,0
"1085",42,"male","third","S",0,0
"1088",28,"male","third","S",0,0
"1091",23,"female","third","S",0,1
"1096",29.881,"female","third","Q",0,1
"1097",2,"male","third","S",0,0
"1100",8,"female","third","S",0,1
"1103",7,"male","third","S",0,0
"1108",21,"male","third","S",0,0
"1109",19,"male","third","S",0,0
"1112",0.75,"male","third","S",0,0
"1115",29.881,"male","third","S",0,0
"1120",22,"male","third","S",0,0
"1121",25,"male","third","S",1,0
"1124",29.881,"female","third","C",1,1
"1127",28,"female","third","S",0,1
"1132",32,"male","third","S",1,0
"1133",29.881,"male","third","S",0,0
"1136",29.881,"male","third","S",0,0
"1139",29.881,"male","third","S",0,0
"1144",7,"male","third","Q",0,0
"1145",2,"male","third","Q",0,0
"1148",22,"female","third","S",0,1
"1151",29.881,"male","third","S",0,0
"1156",29.881,"male","third","S",0,0
"1157",2,"female","third","S",0,1
"1160",29.881,"female","third","S",1,1
"1163",29.881,"male","third","Q",1,0
"1168",29.881,"male","third","Q",0,0
"1169",29.881,"male","third","S",0,0
"1172",14.5,"male","third","S",0,0
"1175",29.881,"female","third","S",0,1
"1180",29.881,"male","third","S",0,0
"1181",29.881,"female","third","S",0,1
"1184",39,"male","third","S",0,0
"1187",29.881,"male","third","C",0,0
"1192",20,"male","third","S",0,0
"1193",24.5,"male","third","S",0,0
"1196",29.881,"male","third","Q",0,0
"1199",29.881,"female","third","Q",1,1
"1204",40,"male","third","S",0,0
"1205",21,"male","third","S",0,0
"1208",10,"male","third","S",0,0
"1211",40,"male","third","S",0,0
"1216",29.881,"male","third","Q",0,0
"1217",29.881,"female","third","Q",1,1
"1220",29.881,"male","third","S",0,0
"1223",33,"male","third","C",0,0
"1228",22,"female","third","S",0,1
"1229",31,"male","third","S",1,0
"1232",29,"female","third","S",0,1
"1235",25,"male","third","S",0,0
"1240",34,"male","third","S",0,0
"1241",0.4167,"male","third","C",1,0
"1244",29.881,"male","third","C",0,0
"1247",29.881,"male","third","S",0,0
"1252",30.5,"male","third","S",0,0
"1253",44,"male","third","S",0,0
"1256",29.881,"male","third","C",0,0
"1259",29,"female","third","C",1,1
"1264",11.5,"male","third","S",0,0
"1265",40.5,"male","third","S",0,0
"1268",30,"female","third","S",0,1
"1271",28,"male","third","S",0,0
"1276",16,"male","third","S",0,0
"1277",31,"female","third","S",0,1
"1280",14,"female","third","S",0,1
"1283",29.881,"male","third","S",0,0
"1288",51,"male","third","S",0,0
"1289",18,"male","third","S",0,0
"1292",29.881,"male","third","S",0,0
"1295",28.5,"male","third","S",0,0
"1300",27,"male","third","C",0,0
"1301",15,"female","third","C",1,1
"1304",29.881,"male","third","C",0,0
"1307",26.5,"male","third","C",0,0
