"","age","sex","pclass","embarked","survived","predictedRF"
"4",30,"male",1,"S",0,"0"
"5",25,"female",1,"S",0,"1"
"8",39,"male",1,"S",0,"0"
"11",47,"male",1,"C",0,"0"
"16",29.881,"male",1,"S",0,"0"
"17",24,"male",1,"C",0,"0"
"20",36,"male",1,"C",0,"0"
"23",26,"male",1,"C",1,"0"
"28",19,"female",1,"C",1,"1"
"29",35,"female",1,"S",1,"1"
"32",40,"male",1,"C",1,"0"
"35",42,"male",1,"S",0,"0"
"40",48,"male",1,"C",0,"0"
"41",29.881,"male",1,"C",0,"0"
"44",60,"female",1,"C",1,"1"
"47",29.881,"male",1,"S",0,"0"
"52",33,"male",1,"S",0,"0"
"53",28,"male",1,"S",0,"0"
"56",14,"female",1,"S",1,"1"
"59",49,"male",1,"S",0,"0"
"64",47,"female",1,"S",1,"1"
"65",27,"male",1,"S",1,"0"
"68",30,"female",1,"S",1,"1"
"71",29.881,"male",1,"S",0,"0"
"76",47,"male",1,"S",0,"0"
"77",39,"female",1,"C",1,"1"
"80",55,"female",1,"S",1,"1"
"83",36,"female",1,"S",1,"1"
"88",27,"male",1,"S",1,"0"
"89",33,"female",1,"S",1,"1"
"92",31,"male",1,"S",1,"0"
"95",4,"male",1,"S",1,"1"
"100",48,"female",1,"C",1,"1"
"101",49,"male",1,"C",1,"0"
"104",38,"female",1,"C",1,"1"
"107",29.881,"male",1,"S",0,"0"
"112",24,"female",1,"S",1,"1"
"113",28,"female",1,"S",1,"1"
"116",64,"male",1,"S",0,"0"
"119",29.881,"male",1,"S",0,"0"
"124",60,"male",1,"C",1,"0"
"125",48,"female",1,"C",1,"1"
"128",35,"female",1,"S",1,"1"
"131",22,"female",1,"C",1,"1"
"136",71,"male",1,"C",0,"0"
"137",53,"male",1,"C",1,"0"
"140",58,"female",1,"S",1,"1"
"143",46,"male",1,"C",0,"0"
"148",29.881,"male",1,"S",0,"0"
"149",45,"male",1,"S",0,"0"
"152",27,"male",1,"C",1,"0"
"155",55,"male",1,"S",0,"0"
"160",16,"female",1,"C",1,"1"
"161",44,"female",1,"C",1,"1"
"164",35,"female",1,"S",1,"1"
"167",29.881,"male",1,"C",0,"0"
"172",46,"male",1,"S",0,"0"
"173",50,"male",1,"S",0,"0"
"176",41,"male",1,"S",0,"0"
"179",45,"female",1,"S",1,"1"
"184",35,"male",1,"C",1,"0"
"185",29.881,"male",1,"C",0,"0"
"188",16,"female",1,"S",1,"1"
"191",21,"female",1,"S",1,"1"
"196",16,"female",1,"S",1,"1"
"197",29.881,"male",1,"C",1,"0"
"200",24,"female",1,"C",1,"1"
"203",36,"male",1,"S",1,"0"
"208",33,"female",1,"Q",1,"1"
"209",37,"female",1,"Q",1,"1"
"212",47,"male",1,"S",0,"0"
"215",23,"female",1,"C",1,"1"
"220",29.881,"male",1,"C",1,"0"
"221",22,"female",1,"C",1,"1"
"224",29.881,"male",1,"S",0,"0"
"227",29,"male",1,"S",0,"0"
"232",52,"male",1,"S",1,"0"
"233",47,"male",1,"S",0,"0"
"236",29.881,"male",1,"S",1,"0"
"239",43,"female",1,"S",1,"1"
"244",46,"male",1,"C",0,"0"
"245",36,"male",1,"C",0,"0"
"248",54,"female",1,"C",1,"1"
"251",18,"female",1,"C",1,"1"
"256",24,"female",1,"C",1,"1"
"257",29.881,"male",1,"S",1,"0"
"260",34,"male",1,"S",1,"0"
"263",50,"male",1,"S",0,"0"
"268",56,"male",1,"C",0,"0"
"269",24,"male",1,"S",0,"0"
"272",24,"male",1,"S",1,"0"
"275",45,"male",1,"C",1,"0"
"280",62,"male",1,"S",0,"0"
"281",54,"male",1,"C",1,"0"
"284",29.881,"male",1,"C",0,"0"
"287",63,"female",1,"S",0,"1"
"292",39,"female",1,"S",1,"1"
"293",48,"male",1,"S",1,"0"
"296",17,"male",1,"C",1,"0"
"299",31,"male",1,"C",1,"0"
"304",64,"male",1,"C",0,"0"
"305",60,"female",1,"C",1,"1"
"308",21,"male",1,"S",0,"0"
"311",57,"male",1,"S",0,"0"
"316",21,"female",1,"S",1,"1"
"317",51,"male",1,"C",0,"0"
"320",31,"female",1,"C",1,"1"
"323",36,"female",1,"C",1,"1"
"328",25,"male",2,"S",0,"0"
"329",34,"male",2,"S",0,"0"
"332",18,"male",2,"S",0,"0"
"335",28,"male",2,"S",0,"0"
"340",1,"male",2,"S",1,"1"
"341",4,"female",2,"S",1,"1"
"344",34,"male",2,"S",1,"0"
"347",26,"male",2,"S",0,"0"
"352",60,"male",2,"S",0,"0"
"353",40,"female",2,"S",1,"1"
"356",36,"female",2,"S",1,"1"
"359",42,"female",2,"S",1,"1"
"364",29.881,"male",2,"S",0,"0"
"365",19,"male",2,"S",0,"0"
"368",52,"male",2,"S",0,"0"
"371",25,"female",2,"S",1,"1"
"376",28,"male",2,"S",0,"0"
"377",24,"male",2,"S",1,"0"
"380",31,"female",2,"S",1,"1"
"383",29.881,"female",2,"S",0,"1"
"388",48,"female",2,"S",1,"1"
"389",28,"female",2,"S",1,"1"
"392",29,"male",2,"C",0,"0"
"395",18,"male",2,"S",0,"0"
"400",42,"male",2,"S",0,"0"
"401",34,"female",2,"S",1,"1"
"404",23,"male",2,"S",0,"0"
"407",40,"male",2,"S",0,"0"
"412",38,"female",2,"S",0,"1"
"413",35,"male",2,"S",0,"0"
"416",34,"female",2,"S",1,"1"
"419",47,"male",2,"S",0,"0"
"424",34,"male",2,"S",0,"0"
"425",30,"male",2,"S",0,"0"
"428",0.6667,"male",2,"S",1,"1"
"431",6,"female",2,"S",1,"1"
"436",43,"male",2,"S",0,"0"
"437",45,"female",2,"S",1,"1"
"440",49,"male",2,"S",0,"0"
"443",24,"male",2,"S",0,"0"
"448",23,"male",2,"S",0,"0"
"449",36,"male",2,"S",0,"0"
"452",44,"male",2,"S",0,"0"
"455",42,"male",2,"S",1,"0"
"460",42,"male",2,"S",0,"0"
"461",24,"female",2,"S",1,"1"
"464",22,"male",2,"S",0,"0"
"467",34,"male",2,"S",0,"0"
"472",45,"female",2,"S",1,"1"
"473",57,"male",2,"Q",0,"0"
"476",26,"female",2,"S",0,"1"
"479",1,"female",2,"C",1,"1"
"484",29.881,"female",2,"S",1,"1"
"485",34,"female",2,"S",1,"1"
"488",61,"male",2,"Q",0,"0"
"491",57,"female",2,"S",0,"1"
"496",29.881,"male",2,"C",0,"0"
"497",30,"male",2,"S",0,"0"
"500",30,"male",2,"S",0,"0"
"503",41,"female",2,"S",1,"1"
"508",27,"male",2,"S",0,"0"
"509",54,"male",2,"S",0,"0"
"512",62,"male",2,"Q",0,"0"
"515",2,"male",2,"S",1,"1"
"520",28,"male",2,"S",0,"0"
"521",20,"male",2,"C",1,"0"
"524",22,"male",2,"S",1,"0"
"527",29,"male",2,"C",1,"0"
"532",29.881,"male",2,"C",0,"0"
"533",41,"male",2,"S",0,"0"
"536",43,"male",2,"S",0,"0"
"539",30,"male",2,"C",1,"0"
"544",36,"male",2,"S",0,"0"
"545",34,"male",2,"S",0,"0"
"548",23,"male",2,"C",0,"0"
"551",24,"female",2,"S",1,"1"
"556",25,"male",2,"S",0,"0"
"557",27,"male",2,"S",0,"0"
"560",20,"female",2,"S",1,"1"
"563",30,"female",2,"Q",1,"1"
"568",25,"male",2,"S",0,"0"
"569",18.5,"male",2,"S",0,"0"
"572",23,"male",2,"S",0,"0"
"575",29,"male",2,"S",0,"0"
"580",23,"male",2,"S",0,"0"
"581",31,"female",2,"S",1,"1"
"584",40,"female",2,"S",1,"1"
"587",29,"female",2,"S",1,"1"
"592",5,"female",2,"S",1,"1"
"593",36,"male",2,"S",0,"0"
"596",29.881,"male",2,"S",0,"0"
"599",26,"female",2,"S",1,"1"
"604",35,"female",3,"S",1,"0"
"605",16,"female",3,"S",1,"0"
"608",18,"female",3,"C",1,"1"
"611",40,"female",3,"S",0,"0"
"616",20,"male",3,"S",0,"0"
"617",24,"male",3,"S",0,"0"
"620",18,"male",3,"S",0,"0"
"623",4,"male",3,"S",0,"0"
"628",9,"female",3,"S",0,"0"
"629",11,"female",3,"S",0,"0"
"632",26,"male",3,"S",0,"0"
"635",26,"male",3,"S",0,"0"
"640",5,"male",3,"S",0,"0"
"641",9,"male",3,"S",0,"0"
"644",5,"female",3,"S",1,"0"
"647",38,"female",3,"S",1,"0"
"652",30,"male",3,"C",0,"0"
"653",23,"male",3,"S",0,"0"
"656",32,"male",3,"S",0,"0"
"659",0.75,"female",3,"C",1,"1"
"664",26,"male",3,"S",0,"0"
"665",20,"male",3,"C",1,"0"
"668",27,"female",3,"Q",0,"1"
"671",26,"male",3,"S",0,"0"
"676",21,"male",3,"S",0,"0"
"677",18,"male",3,"S",0,"0"
"680",9,"female",3,"C",0,"1"
"683",29.881,"female",3,"Q",0,"1"
"688",20,"female",3,"S",0,"0"
"689",29,"male",3,"S",0,"0"
"692",35,"male",3,"S",0,"0"
"695",19,"male",3,"Q",0,"0"
"700",38,"male",3,"S",0,"0"
"701",17,"male",3,"S",0,"0"
"704",21,"male",3,"Q",0,"0"
"707",29.881,"female",3,"C",0,"1"
"712",28,"male",3,"S",0,"0"
"713",24,"male",3,"S",0,"0"
"716",29,"male",3,"S",0,"0"
"719",20,"male",3,"S",0,"0"
"724",31,"male",3,"Q",0,"0"
"725",31,"male",3,"Q",0,"0"
"728",70.5,"male",3,"Q",0,"0"
"731",27,"male",3,"S",0,"0"
"736",36,"female",3,"S",1,"0"
"737",59,"male",3,"S",0,"0"
"740",44,"male",3,"S",0,"0"
"743",45,"male",3,"S",1,"0"
"748",0.3333,"male",3,"S",0,"1"
"749",34,"male",3,"S",0,"0"
"752",25,"male",3,"S",0,"0"
"755",21,"male",3,"S",0,"0"
"760",36,"female",3,"S",1,"0"
"761",30,"male",3,"S",1,"0"
"764",0.1667,"female",3,"S",1,"0"
"767",25,"male",3,"S",0,"0"
"772",19,"female",3,"Q",1,"0"
"773",17,"male",3,"S",0,"0"
"776",29.881,"male",3,"C",0,"0"
"779",30,"female",3,"S",1,"0"
"784",24,"male",3,"S",1,"0"
"785",23,"male",3,"S",0,"0"
"788",16,"male",3,"S",0,"0"
"791",39,"male",3,"C",0,"0"
"796",29.881,"male",3,"C",0,"0"
"797",40.5,"male",3,"S",0,"0"
"800",18,"male",3,"S",0,"0"
"803",29.881,"male",3,"Q",0,"0"
"808",9,"female",3,"S",0,"0"
"809",29.881,"male",3,"S",0,"0"
"812",48,"female",3,"S",0,"0"
"815",25,"male",3,"Q",0,"0"
"820",29.881,"female",3,"Q",1,"1"
"821",9,"male",3,"S",1,"0"
"824",31,"female",3,"S",1,"0"
"827",1,"male",3,"S",0,"1"
"832",40,"male",3,"S",0,"0"
"833",43,"female",3,"S",0,"0"
"836",29.881,"male",3,"S",0,"0"
"839",28,"male",3,"S",0,"0"
"844",29.881,"male",3,"S",0,"0"
"845",28,"male",3,"S",0,"0"
"848",23.5,"male",3,"C",0,"0"
"851",21,"male",3,"S",0,"0"
"856",11,"male",3,"C",0,"0"
"857",29.881,"female",3,"Q",1,"1"
"860",18,"female",3,"Q",0,"0"
"863",22,"female",3,"S",1,"0"
"868",22,"female",3,"S",1,"0"
"869",43,"male",3,"S",0,"0"
"872",29.881,"male",3,"Q",0,"0"
"875",29.881,"male",3,"S",1,"0"
"880",29.881,"male",3,"S",0,"0"
"881",29,"male",3,"C",1,"0"
"884",20,"male",3,"S",0,"0"
"887",29.881,"female",3,"Q",1,"1"
"892",33,"male",3,"S",0,"0"
"893",31,"male",3,"S",0,"0"
"896",1,"female",3,"S",1,"0"
"899",19,"male",3,"S",0,"0"
"904",29.881,"female",3,"S",0,"0"
"905",23,"male",3,"S",0,"0"
"908",20,"female",3,"S",0,"0"
"911",17,"male",3,"S",0,"0"
"916",22,"male",3,"S",0,"0"
"917",4,"female",3,"C",1,"1"
"920",18.5,"male",3,"C",0,"0"
"923",29.881,"female",3,"Q",1,"1"
"928",29.881,"male",3,"C",0,"0"
"929",29.881,"female",3,"C",0,"1"
"932",29.881,"male",3,"Q",0,"0"
"935",4,"female",3,"S",1,"0"
"940",36,"female",3,"S",0,"0"
"941",29.881,"male",3,"C",0,"0"
"944",37,"female",3,"S",0,"0"
"947",29.881,"male",3,"S",0,"0"
"952",29,"male",3,"S",0,"0"
"953",22,"male",3,"S",0,"0"
"956",29.881,"female",3,"S",0,"0"
"959",29.881,"female",3,"S",0,"0"
"964",36,"male",3,"S",0,"0"
"965",39,"male",3,"S",0,"0"
"968",45,"female",3,"S",0,"0"
"971",20,"male",3,"S",1,"0"
"976",26,"female",3,"S",0,"0"
"977",29.881,"male",3,"S",0,"0"
"980",51,"male",3,"S",0,"0"
"983",29.881,"male",3,"S",0,"0"
"988",29.881,"female",3,"Q",0,"1"
"989",29.881,"male",3,"Q",0,"0"
"992",29.881,"male",3,"C",1,"0"
"995",29.881,"male",3,"C",0,"0"
"1000",29.881,"female",3,"Q",1,"1"
"1001",29.881,"male",3,"Q",1,"0"
"1004",29.881,"male",3,"Q",1,"0"
"1007",29.881,"female",3,"Q",1,"1"
"1012",19,"female",3,"S",0,"0"
"1013",29.881,"female",3,"Q",0,"1"
"1016",55.5,"male",3,"S",0,"0"
"1019",29.881,"male",3,"S",0,"0"
"1024",29.881,"female",3,"Q",1,"1"
"1025",25,"male",3,"S",0,"0"
"1028",29.881,"male",3,"S",0,"0"
"1031",29.881,"male",3,"Q",0,"0"
"1036",29.881,"male",3,"C",1,"0"
"1037",29.881,"female",3,"C",1,"1"
"1040",29.881,"female",3,"Q",1,"1"
"1043",29.881,"female",3,"Q",1,"1"
"1048",15,"female",3,"C",1,"1"
"1049",1,"female",3,"C",1,"1"
"1052",33,"male",3,"S",0,"0"
"1055",29.881,"female",3,"Q",0,"1"
"1060",28,"male",3,"S",0,"0"
"1061",18,"female",3,"S",1,"0"
"1064",41,"male",3,"S",0,"0"
"1067",28.5,"male",3,"C",0,"0"
"1072",29.881,"female",3,"Q",1,"1"
"1073",29.881,"male",3,"Q",0,"0"
"1076",23,"male",3,"S",0,"0"
"1079",29.881,"female",3,"Q",1,"1"
"1084",28,"male",3,"S",0,"0"
"1085",42,"male",3,"S",0,"0"
"1088",28,"male",3,"S",0,"0"
"1091",23,"female",3,"S",0,"1"
"1096",29.881,"female",3,"Q",0,"1"
"1097",2,"male",3,"S",0,"0"
"1100",8,"female",3,"S",0,"0"
"1103",7,"male",3,"S",0,"1"
"1108",21,"male",3,"S",0,"0"
"1109",19,"male",3,"S",0,"0"
"1112",0.75,"male",3,"S",0,"1"
"1115",29.881,"male",3,"S",0,"0"
"1120",22,"male",3,"S",0,"0"
"1121",25,"male",3,"S",1,"0"
"1124",29.881,"female",3,"C",1,"1"
"1127",28,"female",3,"S",0,"0"
"1132",32,"male",3,"S",1,"0"
"1133",29.881,"male",3,"S",0,"0"
"1136",29.881,"male",3,"S",0,"0"
"1139",29.881,"male",3,"S",0,"0"
"1144",7,"male",3,"Q",0,"0"
"1145",2,"male",3,"Q",0,"0"
"1148",22,"female",3,"S",0,"0"
"1151",29.881,"male",3,"S",0,"0"
"1156",29.881,"male",3,"S",0,"0"
"1157",2,"female",3,"S",0,"0"
"1160",29.881,"female",3,"S",1,"0"
"1163",29.881,"male",3,"Q",1,"0"
"1168",29.881,"male",3,"Q",0,"0"
"1169",29.881,"male",3,"S",0,"0"
"1172",14.5,"male",3,"S",0,"0"
"1175",29.881,"female",3,"S",0,"0"
"1180",29.881,"male",3,"S",0,"0"
"1181",29.881,"female",3,"S",0,"0"
"1184",39,"male",3,"S",0,"0"
"1187",29.881,"male",3,"C",0,"0"
"1192",20,"male",3,"S",0,"0"
"1193",24.5,"male",3,"S",0,"0"
"1196",29.881,"male",3,"Q",0,"0"
"1199",29.881,"female",3,"Q",1,"1"
"1204",40,"male",3,"S",0,"0"
"1205",21,"male",3,"S",0,"0"
"1208",10,"male",3,"S",0,"0"
"1211",40,"male",3,"S",0,"0"
"1216",29.881,"male",3,"Q",0,"0"
"1217",29.881,"female",3,"Q",1,"1"
"1220",29.881,"male",3,"S",0,"0"
"1223",33,"male",3,"C",0,"0"
"1228",22,"female",3,"S",0,"0"
"1229",31,"male",3,"S",1,"0"
"1232",29,"female",3,"S",0,"0"
"1235",25,"male",3,"S",0,"0"
"1240",34,"male",3,"S",0,"0"
"1241",0.4167,"male",3,"C",1,"1"
"1244",29.881,"male",3,"C",0,"0"
"1247",29.881,"male",3,"S",0,"0"
"1252",30.5,"male",3,"S",0,"0"
"1253",44,"male",3,"S",0,"0"
"1256",29.881,"male",3,"C",0,"0"
"1259",29,"female",3,"C",1,"1"
"1264",11.5,"male",3,"S",0,"0"
"1265",40.5,"male",3,"S",0,"0"
"1268",30,"female",3,"S",0,"0"
"1271",28,"male",3,"S",0,"0"
"1276",16,"male",3,"S",0,"0"
"1277",31,"female",3,"S",0,"0"
"1280",14,"female",3,"S",0,"0"
"1283",29.881,"male",3,"S",0,"0"
"1288",51,"male",3,"S",0,"0"
"1289",18,"male",3,"S",0,"0"
"1292",29.881,"male",3,"S",0,"0"
"1295",28.5,"male",3,"S",0,"0"
"1300",27,"male",3,"C",0,"0"
"1301",15,"female",3,"C",1,"1"
"1304",29.881,"male",3,"C",0,"0"
"1307",26.5,"male",3,"C",0,"0"
